,tag,n_tag,len_tag
1,teaching,47,1
2,research,46,1
3,coding,43,1
4,management,39,1
5,presentation,38,1
6,meeting,27,1
7,data_collection,25,1
8,client,21,1
9,documenting,16,1
10,feedback,16,1
11,dashboard,9,1
14,blogging,6,1
16,style_guide,5,1
17,accessibility,5,1
23,web_design,4,1
