role,persons_role
Analyst,557
None of these describes my role,370
"Leadership (Manager, Director, VP, etc.)",297
Designer,229
Developer,180
Scientist,122
Academic/Teacher,114
Student,102
Engineer,98
Journalist,64
Teacher,21
Cartographer,11
